idx	tier	date	link	insts	venue	title
233	A	2026-01	10.1007/978-981-96-8350-5_20	University of Jammu	Lecture notes in networks and systems	Spoken Keyword Recognition Using Gaussian Mixture Models and MFCC Features
234	C	2026-01	https://hdl.handle.net/11577/3596105	?	Padua Research Archive (University of Pa	Wake Sound Spotting in Internet of Things
235	C	2026-01	10.1007/978-3-032-15990-8_7	Universidade Federal do Paraná	Lecture notes in computer science	Better Call Lucas: A Conversational Assistant for Older Adult Support
236	C	2026-01	10.63282/3050-9246.ijetcsit-v7i1p117	Film Independent	International Journal of Emerging Trends	Real-Time Speech and Audio Processing for Mobile Applications
237	C	2026-01	10.2139/ssrn.7140343	?	SSRN Electronic Journal	Welzijn.pet: Privacy-First Edge Deployment of a Modular LLM-Based Voice Assistant for Senior Care
238	C	2026-01	10.25924/opus-7346	?	FH Vorarlberg Opus	Edge-Privacy und Transparenz – Der Weg zu einem verantwortungsvollen KI-Tagesbegleiter
239	C	2026-01	https://philarchive.org/rec/DONLWI	University of Arkansas System	PhilPapers (PhilPapers Foundation)	Listening Whether I Like it or Not: You, Me, Zoom, and Your Alexa
240	A	2026-01	10.1109/taslpro.2026.3705688	University of Science and Technology of China; University of Palermo	IEEE Transactions on Audio Speech and La	Rhythm-Aware Modeling for Speaker-Independent Dysarthric Wake-Up Word Spotting
241	C	2026-01	10.35444/ijana.2026.17502	Kim Il-sung University	International Journal of Advanced Networ	Design of an Efficient Convolutional Neural Network Based on Temporal Convolution for Wake-up Spotting
242	C	2026-01	10.1007/978-3-032-19099-4_30	TU Wien; Christian Doppler Laboratory for Thermoelectricity	Communications in computer and informati	Modeling Diagonal State Space Models as Electric Circuits for Analog Neural Network Inference
243	C	2026-01	10.2139/ssrn.6888799	?	SSRN Electronic Journal	All for One, and One for None: The European Commission's Implementation Measures Target New Entries in the AI Assistant Market
244	A	2026-01	10.1109/taslpro.2026.3698014	La Trobe University; KU Leuven	IEEE Transactions on Audio Speech and La	Optimizing Query-By-Example Spoken Term Detection With Audio-to-Token Sequence Clustering and Query-Guided Retrieval
245	C	2026-01	10.1007/978-3-032-06136-2_32	University of Amsterdam	Socio-Environmental Systems Modeling	Flexible Metadata Harvesting for Ecology Using Large Language Models
246	N	2026-01	10.1007/978-981-95-3841-6_13	Delhi Technological University	Springer proceedings in mathematics & st	Segmentation-Based Word Spotting in Handwritten Ayurveda Manuscripts Using Siamese Convolutional Network
247	C	2026-01	10.2139/ssrn.6082141	Pontificia Universidad Católica de Chile; Universidad Bernardo O'Higgins	SSRN Electronic Journal	The Complexity of Reverse Engineering Problems for Conjunctive Queries of Bounded Treewidth
248	C	2026-01	10.18653/v1/2026.eacl-industry.23	Inha University		A Compliance-Preserving Retrieval System for Aircraft MRO Task Search
249	C	2026-01	10.1007/978-3-032-24063-7_14	National Taiwan University of Science and Technology	Smart innovation, systems and technologi	AI Search Assistant Chrome Extension
250	C	2025-12	arxiv.org/abs/2601.00890v1	?	arXiv (Cornell University)	Index-ASR Technical Report
251	C	2025-12	10.5281/zenodo.18099071	?	Zenodo (CERN European Organization for N	VAD vs event-triggered for AI speech-to-speech applications
252	C	2025-12	10.1109/iccit68389.2025.11453401	MIT World Peace University		Proximity-Gated Wake-Word Spotting on Low-Power Embedded Hardware Using Quantized CNNs
253	A	2025-12	arxiv.org/abs/2512.21828v1	?	arXiv (Cornell University)	Contextual Biasing for LLM-Based ASR with Hotword Retrieval and Reinforcement Learning
254	A	2025-12	10.1109/taslpro.2025.3648893	East China University of Science and Technology	IEEE Transactions on Audio Speech and La	TCLP-KWS: A Triplet Contrastive Learning Framework for Efficient and Customizable Keyword Spotting
255	C	2025-12	10.1186/s13037-025-00460-0	Bern University of Applied Sciences; University Hospital Zurich	Patient Safety in Surgery	Development and evaluation of a novel voice-enabled prototype to support consistent application of surgical safety checklists: a proof-of-concept study
256	C	2025-12	10.65521/intjournalrecadvengtech.v14i3s.1685	?	International Journal Of Recent Advances	Overcoming Unimodal Challenges: A Survey of Multi-Modal Fusion for Mobile Interfaces
257	C	2025-12	10.65521/intjournalrecadvengtech.v14i3s.1656	Nagpur Institute of Technology	International Journal Of Recent Advances	CallShield - Real Time Fraud Call & OTP Scam Detection App
258	A	2025-12	10.32604/cmc.2025.072881	National Taipei University of Technology; National Taipei University of Business	Computers, materials & continua/Computer	Keyword Spotting Based on Dual-Branch Broadcast Residual and Time-Frequency Coordinate Attention
259	C	2025-12	10.3390/app16010117	Naresuan University; Chulalongkorn University; Khon Kaen University	Applied Sciences	An LLM–MCDM Framework with Lin’s Concordance Correlation Coefficient for Recommendation Systems: A Case Study in Food Preference
260	C	2025-12	10.15128/r14x51hj064	Durham University	Durham Research Online (Durham Universit	UK-StatuteCorpus v1.0 (2020–2024): passage-level corpus, Eval100 evaluation dataset, and distillation set
261	C	2025-12	10.4271/2025-36-0078	?	SAE technical papers on CD-ROM/SAE techn	An AI-Based Embedded Offline Voice Assistant for Commercial Trucks: Enhancing Driver Safety and HMI Design
262	A	2025-12	arxiv.org/abs/2512.19739v2	?	arXiv (Cornell University)	OASI: Objective-Aware Surrogate Initialization for Multi-Objective Bayesian Optimization in TinyML Keyword Spotting
263	A	2025-12	arxiv.org/abs/2512.15124v2	Alibaba Group (China)		Synaspot: A Lightweight, Streaming Multi-modal Framework for Keyword Spotting with Audio-Text Synergy
264	C	2025-12	10.1109/tifs.2025.3645562	Shandong University of Technology	IEEE Transactions on Information Forensi	PowerEar: An Audio Eavesdropping Attack on Mobile Devices Through USB Power Side Channel
265	A	2025-12	arxiv.org/abs/2512.14115v1	Indian Institute of Technology Hyderabad; Intel (India)		Joint Multimodal Contrastive Learning for Robust Spoken Term Detection and Keyword Spotting
266	C	2025-12	10.1109/icicnis66685.2025.11315697	Karpagam Academy of Higher Education; CMR University; Kanyakumari Government Medical College; MVJ Medical College and Research Hospital		AI-Driven Humanoid Robot for College Assistance
267	C	2025-12	10.1145/3757374.3771470	Hong Kong Polytechnic University		“I’m Always Here”: An Affective Companion Agent for Novice Drivers
268	C	2025-12	arxiv.org/abs/2512.17932v1	?	arXiv (Cornell University)	Continual Learning for Acoustic Event Classification
269	C	2025-12	10.1109/globecom59602.2025.11431841	University of Guelph		Edge IoT-based Voice-Activated Health Monitoring System
270	C	2025-12	arxiv.org/abs/2512.06362v1	?	arXiv (Cornell University)	A 33.6-136.2 TOPS/W Nonlinear Analog Computing-In-Memory Macro for Multi-bit LSTM Accelerator in 65 nm CMOS
271	A	2025-12	10.1007/s00530-025-02091-y	University of Jinan; Shandong Youth University of Political Science; Central China Normal University	Multimedia Systems	Domain adaptative keyword spotting with multimodal enhancement
272	C	2025-12	10.5753/erigo.2025.17091	Faculdades Guarulhos		FLA-Dataset: A Database of Four Location-Based Audio Commands in Brazilian Portuguese
273	C	2025-12	https://scholarlycommons.pacific.edu/soecs-projects/2025/events/35	?	Scholarly Commons (University of the Pac	EchoWear
274	A	2025-12	10.1007/s11760-025-05023-5	National Institute of Technology Sikkim	Signal Image and Video Processing	Empowering dysarthric communication: a self-supervised approach to keyword spotting
275	C	2025-12	10.48448/hg7h-8d27	University of Moratuwa	Open MIND	wavCSE: Learning Fixed-size Unified Speech Embeddings via Feature-based Multi-Task Learning
276	N	2025-12	10.1007/s10772-025-10236-7	Vellore Institute of Technology University	International Journal of Speech Technolo	TurboCRNN: a robust and efficient architecture for wake word detection
277	C	2025-11	10.1109/maeie68099.2025.11405931	Anhui University		Ultra-Compact KANSpotter with Noise Robustness for Voice-Controlled Exoskeletons
278	C	2025-11	10.1109/raaicon69033.2025.11502251	?		Voice-Driven Teleoperation of Wheelchair-Mounted Robotic ARMS Using MFCC and a Quantized Lightweight CNN
279	A	2025-11	10.1109/isceic67854.2025.11405679	Guilin University of Electronic Technology		A Keyword Spotting Method Based on CNN-LSTM and Online Knowledge Distillation
280	C	2025-11	10.24406/publica-7593	?	Open MIND	Design of a Low Noise Amplifier with Programmable Gain for Neuromorphic Sensor Frontends
281	C	2025-11	10.1109/csitss67709.2025.11294396	Bharat Electronics (India); Rashtreeya Sikshana Samithi Trust; Centre for Artificial Intelligence and Robotics		MineGuard AI: Real-Time Safety and Health Monitoring for Miners Using Edge Intelligence and LoRa Communication
282	A	2025-11	10.1109/tvlsi.2025.3632791	Shenzhen University	IEEE Transactions on Very Large Scale In	A 95.3% 12-Class, 108-nJ/Inference Keyword Spotting Chip With Hybrid FFT-BFNet Architecture and Exponent-Aware Nonuniform Quantization in 65-nm CMOS
283	C	2025-11	10.48693/798	?	osnaDocs (Osnabrück University)	Disentangled Representation Learning in Speech and Vocalization
284	C	2025-11	10.1007/978-981-95-0269-1_197	Birla Institute of Technology and Science - Hyderabad Campus	Lecture notes in electrical engineering	Mute Mate – The Comfort of Automation
285	A	2025-11	10.1109/icecs66544.2025.11270693	University of Guelph		Low-Power Real-Time Keyword Spotting for Autonomous Edge Devices
286	C	2025-11	10.5281/zenodo.17635304	Constructing Excellence	Zenodo (CERN European Organization for N	Investment Risk Assessment: Neuromorphic Computing for Edge AI - Safety Certification Barrier, Benchmark Vacuum, and Revenue Reality Analysis
287	C	2025-11	10.17605/osf.io/y2vem	?	Open MIND	DBTT Supplementary Materials
288	C	2025-11	10.17632/m2gdxppkvj	?	Mendeley Data	Query-Free OpenWebText - Part 1: Clean and Dirty Corpus
289	C	2025-11	arxiv.org/abs/2511.12662v1	Prometheus (United States); Hong Kong University of Science and Technology	Lecture notes in computer science	Hi-Reco: High-Fidelity Real-Time Conversational Digital Humans
290	C	2025-11	arxiv.org/abs/2511.12297v1	?	Repository for Publications and Research	A Linear Implementation of an Analog Resonate-and-Fire Neuron
291	C	2025-11	arxiv.org/abs/2511.11205v1	?	arXiv (Cornell University)	LOKI: a 0.266 pJ/SOP Digital SNN Accelerator with Multi-Cycle Clock-Gated SRAM in 22nm
292	C	2025-11	arxiv.org/abs/2511.11811v2	?	arXiv (Cornell University)	Lessons Learned from Developing a Privacy-Preserving Multimodal Wearable for Local Voice-and-Vision Inference
293	A	2025-11	10.22214/ijraset.2025.75260	?	International Journal for Research in Ap	Keyword Spotting System
294	C	2025-11	10.2196/preprints.87764	?		The Role of Commercial Smart Speakers in Health and Care Settings: A Systematic Literature Review (Preprint)
295	C	2025-11	10.1109/icdmw69685.2025.00416	University High School; Johns Hopkins University; Johns Hopkins Medicine		Statistical Mining of Patient Reviews for Geographic Insights on Quality of Urological Care: A Pilot Study
296	C	2025-11	arxiv.org/abs/2511.07821v2	?	arXiv (Cornell University)	SynTTS-Commands: A Public Dataset for On-Device KWS via TTS-Synthesized Multilingual Speech
297	A	2025-11	arxiv.org/abs/2511.06296v1	Xinjiang University; Harbin Institute of Technology; Tsinghua University; Beijing University of Posts and Telecommunications		MT-HuBERT: Self-Supervised Mix-Training for Few-Shot Keyword Spotting in Mixed Speech
298	A	2025-11	10.1007/978-3-032-10209-6_6	Centre National de la Recherche Scientifique; Université de Bordeaux; University of Monastir; Laboratoire Bordelais de Recherche en Informatique	Communications in computer and informati	ResNet-Based Pandemic Keyword Spotting in Continuous Multilingual Speech: A Study in UNESCO’s Audio Messages for Rapid Health Response
299	A	2025-11	10.3390/e27111143	Fuzhou University	Entropy	High Precision Speech Keyword Spotting Based on Binary Deep Neural Network in FPGA
300	C	2025-11	10.1109/ic-nidc67200.2025.11390222	Beijing University of Posts and Telecommunications		A Multi-Speaker Speech Processing System for Dialect-Rich Environments with LLM-Based Optimization
301	C	2025-11	10.1109/silcon67893.2025.11327402	Sanskriti Samvardhan Mandal		Shield: The Veilguard Framework for AI-Powered, Offline Women Safety
302	C	2025-11	10.1109/tcsi.2025.3626541	Sun Yat-sen University	IEEE Transactions on Circuits and System	U-Sparta: A Unified Speech Processing Accelerator for Real-Time Applications
303	C	2025-11	10.1109/tnsm.2025.3629071	Xi’an University of Posts and Telecommunications; Xidian University	IEEE Transactions on Network and Service	Verifiable Data Streaming Protocol Supporting Keyword Queries
304	A	2025-11	10.1109/jssc.2025.3619427	Peking University	IEEE Journal of Solid-State Circuits	A Heterogeneous TinyML SoC With Systematic Minimum Energy Searching and Management for Keyword Spotting
